id,university_code,university_name,university_level,branch_name,branch_code,combination_code,amount_student,type_admission,total_score,receive_time,deadline_time,geographic,university_rank
33,CEA,Đại học kinh tế Nghệ An,Đại học,Quản trị kinh doanh,52340101,B00,57,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
34,CEA,Đại học kinh tế Nghệ An,Đại học,Quản trị kinh doanh,52340101,A00,134,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
35,CEA,Đại học kinh tế Nghệ An,Đại học,Quản trị kinh doanh,52340101,D01,134,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
36,CEA,Đại học kinh tế Nghệ An,Đại học,Quản trị kinh doanh,52340101,A01,134,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
37,CEA,Đại học kinh tế Nghệ An,Đại học,Quản trị kinh doanh,52340101,B00,134,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
38,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,A00,29,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
39,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,D01,29,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
40,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,A01,29,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
41,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,B00,29,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
42,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,A00,67,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
43,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,D01,67,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
44,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,A01,67,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
45,CEA,Đại học kinh tế Nghệ An,Đại học,Kinh tế,52310101,B00,67,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
46,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,A00,12,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
47,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,D01,12,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
48,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,B00,12,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
49,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,A01,12,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
50,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,B00,28,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
51,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,D01,28,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
52,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,A01,28,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
53,CEA,Đại học kinh tế Nghệ An,Đại học,Quản lý đất đai,52850103,A00,28,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
54,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,A00,57,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
55,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,D01,57,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
56,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,A01,57,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
57,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,B00,57,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
58,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,A00,133,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
59,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,D01,133,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
60,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,A01,133,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
61,CEA,Đại học kinh tế Nghệ An,Đại học,Thú y,52640101,B00,133,Phương thức khác,15.5,2017-08-13,2017-08-31,Nghệ An,101
62,CEA,Đại học kinh tế Nghệ An,Đại học,Lâm nghiệp,52620201,A00,9,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
63,CEA,Đại học kinh tế Nghệ An,Đại học,Lâm nghiệp,52620201,D01,9,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
64,CEA,Đại học kinh tế Nghệ An,Đại học,Lâm nghiệp,52620201,B00,9,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
65,CEA,Đại học kinh tế Nghệ An,Đại học,Lâm nghiệp,52620201,A01,9,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
66,CEA,Đại học kinh tế Nghệ An,Đại học,Khoa học cây trồng,52620110,A00,11,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
67,CEA,Đại học kinh tế Nghệ An,Đại học,Khoa học cây trồng,52620110,D01,11,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
68,CEA,Đại học kinh tế Nghệ An,Đại học,Khoa học cây trồng,52620110,A01,11,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
69,CEA,Đại học kinh tế Nghệ An,Đại học,Khoa học cây trồng,52620110,B00,11,Kết quả thi THPT QG,15.5,2017-08-13,2017-08-31,Nghệ An,101
70,DTL,Đại học Thăng Long,Đại học,Thanh nhạc,5221020,N00,30,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,101
71,DTL,Đại học Thăng Long,Đại học,Nhóm ngành kinh tế - quản lý,KQ01,A00,62,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
72,DTL,Đại học Thăng Long,Đại học,Nhóm ngành kinh tế - quản lý,KQ01,D03,62,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
73,DTL,Đại học Thăng Long,Đại học,Nhóm ngành kinh tế - quản lý,KQ01,D01,62,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
74,DTL,Đại học Thăng Long,Đại học,Nhóm ngành kinh tế - quản lý,KQ01,A01,62,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
75,DTL,Đại học Thăng Long,Đại học,Nhóm ngành toán - tin,TT01,A00,35,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
76,DTL,Đại học Thăng Long,Đại học,Nhóm ngành toán - tin,TT01,A01,35,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
77,DTL,Đại học Thăng Long,Đại học,Nhóm ngành Khoa học sức khỏe,SK01,B00,20,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
78,DTL,Đại học Thăng Long,Đại học,Nhóm ngành Khoa học xã hội và nhân văn,XN01,C00,20,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
79,DTL,Đại học Thăng Long,Đại học,Nhóm ngành Khoa học xã hội và nhân văn,XN01,D01,20,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
80,DTL,Đại học Thăng Long,Đại học,Nhóm ngành Khoa học xã hội và nhân văn,XN01,D03,20,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
81,DTL,Đại học Thăng Long,Đại học,Nhóm ngành Khoa học xã hội và nhân văn,XN01,D04,20,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
82,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Anh,52220201,D01,60,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
83,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Trung Quốc,52220204,D01,10,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
84,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Trung Quốc,52220204,D03,10,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
85,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Trung Quốc,52220204,D04,10,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
86,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Nhật,52220209,D01,60,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
87,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Nhật,52220209,D06,60,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
88,DTL,Đại học Thăng Long,Đại học,Ngôn ngữ Hàn Quốc,52220210,D01,10,Kết quả thi THPT QG,15,2017-08-13,2017-08-31,Hà Nội,98
89,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Toán học,51140209,A00,46,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
90,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Toán học,51140209,B00,46,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
91,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Toán học,51140209,A02,46,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
92,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Toán học,51140209,A16,46,Kết quả thi THPT QG,10,2017-08-13,2017-08-31,Hưng Yên,101
93,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Hóa học,51140212,A16,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
94,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Hóa học,51140212,A00,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
95,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Hóa học,51140212,B00,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
96,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Hóa học,51140212,A02,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
97,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Sinh học,51140213,A00,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
98,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Sinh học,51140213,B00,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
99,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Sinh học,51140213,A02,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
100,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Sinh học,51140213,A16,25,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
101,C22,Cao đẳng sư phạm Hưng Yên,Cao đẳng,Sư phạm Ngữ văn,51140217,C00,50,Kết quả thi THPT QG,25,2017-08-13,2017-08-31,Hưng Yên,101
